 NUM  NOME         POSTO JUS   REE V.INIC U.EXIS MODIF INIC.HIST FIM HIST
 XXXX XXXXXXXXXXXX XXXX  XXXX XXXX XXX.XX XXXX   XXXX     XXXX     XXXX
    4 FUNIL-GRANDE  211     6   10   0.00   EX      1     1931     2016
   20 BATALHA        22    21   10  32.05   EX      1     1931     2016
   21 SERRA FACAO   251    24   10  29.80   EX      0     1931     2016
   27 CAPIM BRANC1  207    28   10  44.36   EX      1     1931     2016
   28 CAPIM BRANC2   28    31   10   0.00   EX      1     1931     2016
   29 CORUMBA IV    205   203   10  24.55   EX      0     1931     2016
   48 PIRAJU         48    49   12   0.00   EX      0     1931     2016
   66 ITAIPU         66     0    5   0.00   EX      0     1931     2016
  131 NILO PECANHA  131   133    1   0.00   EX      0     1931     2016
  132 FONTES        303   133    1   0.00   EX      1     1931     2016
  141 BAGUARI       141   143    1   0.00   EX      0     1931     2016
  153 SAO DOMINGOS  154    46   10   0.00   EX      0     1931     2016
  155 RETIRO BAIXO  155   156    1   4.00   EX      1     1931     2016
  156 TRES MARIAS   156     0    1  32.34   EX      1     1931     2016
  162 QUEIMADO      158     0    1  53.22   EX      1     1931     2016
  195 JAURU         295     0    1   0.00   EX      0     1931     2016
  196 GUAPORE       296   285    6   0.00   EX      0     1931     2016
  203 CORUMBA III    23    30   10  32.53   EX      0     1931     2016
  227 SINOP         227   228    7   0.00   NE      1     1931     2016
  228 COLIDER       228   229    7   0.00   EE      1     1931     2016
  229 TELES PIRES   229   230    7   0.00   EX      1     1931     2016
  230 SAO MANOEL    230     0    7   0.00   EX      0     1931     2016
  241 SLT VERDINHO  241    34   10   0.00   EX      0     1931     2016
  249 OURINHOS      249    50   12   0.00   EX      0     1931     2016
  251 SERRA MESA    270   252    1  12.43   EX      1     1931     2016
  252 CANA BRAVA    191   253    1   0.00   EX      1     1931     2016
  253 SAO SALVADOR  253   257    1   0.00   EX      1     1931     2016
  257 PEIXE ANGIC   257   261    1  43.50   EX      1     1931     2016
  261 LAJEADO       273     0    1   0.00   EX      1     1931     2016
  262 SALTO         294   241   10   0.00   EX      0     1931     2016
  276 RONDON II     145     0    6  45.80   EX      0     1931     2016
  281 PONTE PEDRA   281     0    1   0.00   EX      1     1931     2016
  285 JIRAU         285   287    6   0.00   EX      1     1931     2016
  287 STO ANTONIO   287     0    6   0.00   EX      1     1931     2016
  290 ESPORA         99    34   10  20.00   EX      0     1931     2016
  304 ITIQUIRA I    259   305    1   0.00   EX      0     1931     2016
  305 ITIQUIRA II   252     0    1   0.00   EX      1     1931     2016
  310 DARDANELOS    291     0    6   0.00   EX      0     1931     2016
  311 CACU          247   312   10  25.00   EX      0     1931     2016
  312 B. COQUEIROS  248   315   10   0.00   EX      0     1931     2016
  315 FOZ R. CLARO  261    34   10   0.00   EX      0     1931     2016
  317 FICT.TIBAGI    55   319   12   0.00   NE      0     1931     2016
  318 FICT.STA BRA   54   317   12   0.00   NE      0     1931     2016
  319 FICT.MAUA      57    61   12  59.00   EX      1     1931     2016
  117 GUARAPIRANGA  117   118    1  59.66   EX      1     1931     2016
  118 BILLINGS      319   119    1  78.94   EX      1     1931     2016
  119 HENRY BORDEN  318     0    1   0.00   EX      1     1931     2016
